year,event_id,match_id,match_date,match_surface,match_round,tournament_name,tournament_city,tournament_draw,winner_name,loser_name,match_score,match_time,winner_aces_all,winner_aces_1st,winner_aces_2nd,loser_aces_all,loser_aces_1st,loser_aces_2nd,winner_double_faults_all,winner_double_faults_1st,winner_double_faults_2nd,loser_double_faults_all,loser_double_faults_1st,loser_double_faults_2nd,winner_serve_rating_all,winner_serve_rating_1st,winner_serve_rating_2nd,loser_serve_rating_all,loser_serve_rating_1st,loser_serve_rating_2nd,winner_first_serve_all,winner_first_serve_1st,winner_first_serve_2nd,loser_first_serve_all,loser_first_serve_1st,loser_first_serve_2nd,winner_first_serve_points_all,winner_first_serve_points_1st,winner_first_serve_points_2nd,loser_first_serve_points_all,loser_first_serve_points_1st,loser_first_serve_points_2nd,winner_second_serve_points_all,winner_second_serve_points_1st,winner_second_serve_points_2nd,loser_second_serve_points_all,loser_second_serve_points_1st,loser_second_serve_points_2nd,winner_break_points_saved_all,winner_break_points_saved_1st,winner_break_points_saved_2nd,loser_break_points_saved_all,loser_break_points_saved_1st,loser_break_points_saved_2nd,winner_service_games_played_all,winner_service_games_played_1st,winner_service_games_played_2nd,loser_service_games_played_all,loser_service_games_played_1st,loser_service_games_played_2nd,winner_return_rating_all,winner_return_rating_1st,winner_return_rating_2nd,loser_return_rating_all,loser_return_rating_1st,loser_return_rating_2nd,winner_first_serve_return_points_all,winner_first_serve_return_points_1st,winner_first_serve_return_points_2nd,loser_first_serve_return_points_all,loser_first_serve_return_points_1st,loser_first_serve_return_points_2nd,winner_second_serve_return_points_all,winner_second_serve_return_points_1st,winner_second_serve_return_points_2nd,loser_second_serve_return_points_all,loser_second_serve_return_points_1st,loser_second_serve_return_points_2nd,winner_break_points_converted_all,winner_break_points_converted_1st,winner_break_points_converted_2nd,loser_break_points_converted_all,loser_break_points_converted_1st,loser_break_points_converted_2nd,winner_total_service_points_won_all,winner_total_service_points_won_1st,winner_total_service_points_won_2nd,loser_total_service_points_won_all,loser_total_service_points_won_1st,loser_total_service_points_won_2nd,winner_total_return_points_won_all,winner_total_return_points_won_1st,winner_total_return_points_won_2nd,loser_total_return_points_won_all,loser_total_return_points_won_1st,loser_total_return_points_won_2nd,winner_total_points_won_all,winner_total_points_won_1st,winner_total_points_won_2nd,loser_total_points_won_all,loser_total_points_won_1st,loser_total_points_won_2nd,loser_aces_3rd,winner_aces_3rd,loser_double_faults_3rd,winner_double_faults_3rd,loser_serve_rating_3rd,winner_serve_rating_3rd,loser_first_serve_3rd,winner_first_serve_3rd,loser_first_serve_points_3rd,winner_first_serve_points_3rd,loser_second_serve_points_3rd,winner_second_serve_points_3rd,loser_break_points_saved_3rd,winner_break_points_saved_3rd,loser_service_games_played_3rd,winner_service_games_played_3rd,loser_return_rating_3rd,winner_return_rating_3rd,loser_first_serve_return_points_3rd,winner_first_serve_return_points_3rd,loser_second_serve_return_points_3rd,winner_second_serve_return_points_3rd,loser_break_points_converted_3rd,winner_break_points_converted_3rd,loser_total_service_points_won_3rd,winner_total_service_points_won_3rd,loser_total_return_points_won_3rd,winner_total_return_points_won_3rd,loser_total_points_won_3rd,winner_total_points_won_3rd
2022,429,2022/429/MS008,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Stefanos Tsitsipas,Maxime Cressy,"7-6, 7-6",02:03:32,7,3,4,11,2,9,1,1,0,5,3,2,316,285,343,299,274,312,57/76,26/36,31/40,55/86,17/36,38/50,52/57,23/26,29/31,44/55,14/17,30/38,10/19,4/10,6/9,18/31,12/19,6/12,0/1,0/1,0/0,2/3,2/3,0/0,12,6,6,12,6,6,103,104,71,164,188,39,11/55,3/17,8/38,5/57,3/26,2/31,13/31,7/19,6/12,9/19,6/10,3/9,1/3,1/3,0/0,1/1,1/1,0/0,62/76,27/36,35/40,62/86,26/36,36/50,24/86,10/36,14/50,14/76,9/36,5/40,86/162,37/72,49/90,76/162,35/72,41/90,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS015,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Cameron Norrie,Aslan Karatsev,"6-7, 6-3, 6-4",03:04:25,6,4,2,7,5,2,3,1,0,6,1,4,261,242,285,228,250,199,65/98,33/47,15/24,70/119,35/58,17/32,47/65,22/33,11/15,44/70,22/35,11/17,15/33,5/14,6/9,22/49,13/23,5/15,5/9,3/5,1/2,5/11,3/5,1/3,16,6,5,15,6,4,187,153,219,152,170,130,26/70,13/35,6/17,18/65,11/33,4/15,27/49,10/23,10/15,18/33,9/14,3/9,6/11,2/5,2/3,4/9,2/5,1/2,62/98,27/47,17/24,66/119,35/58,16/32,53/119,23/58,16/32,36/98,20/47,7/24,115/217,50/105,33/56,102/217,55/105,23/56,0,0,1,2,218,263,18/29,17/27,11/18,14/17,4/11,4/10,1/3,1/2,5,5,148,210,3/17,7/18,6/10,7/11,1/2,2/3,15/29,18/27,9/27,14/29,24/56,32/56
2022,429,2022/429/MS013,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Denis Shapovalov,Antoine Bellier,"6-4, 7-5",01:22:00,8,3,5,8,6,2,3,2,1,4,0,4,331,320,336,276,283,269,37/54,17/25,20/29,40/63,15/25,25/38,32/37,15/17,17/20,32/40,13/15,19/25,12/17,5/8,7/9,11/23,5/10,6/13,0/0,0/0,0/0,2/4,0/1,2/3,11,5,6,11,5,6,140,183,127,43,50,37,8/40,2/15,6/25,5/37,2/17,3/20,12/23,5/10,7/13,5/17,3/8,2/9,2/4,1/1,1/3,0/0,0/0,0/0,44/54,20/25,24/29,43/63,18/25,25/38,20/63,7/25,13/38,10/54,5/25,5/29,64/117,27/50,37/67,53/117,23/50,30/67,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS012,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Alex de Minaur,J.J. Wolf,"6-4, 6-2",01:23:37,4,1,3,2,2,0,0,0,0,2,1,1,288,275,304,211,215,206,40/59,24/34,16/25,32/52,15/26,17/26,28/40,15/24,13/16,19/32,9/15,10/17,11/19,6/10,5/9,7/20,4/11,3/9,4/5,3/4,1/1,1/5,0/2,1/3,9,5,4,9,5,4,230,244,225,103,123,63,13/32,6/15,7/17,12/40,9/24,3/16,13/20,7/11,6/9,8/19,4/10,4/9,4/5,2/2,2/3,1/5,1/4,0/1,39/59,21/34,18/25,26/52,13/26,13/26,26/52,13/26,13/26,20/59,13/34,7/25,65/111,34/60,31/51,46/111,26/60,20/51,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS014,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Holger Rune,Cristian Garin,"7-6, 6-1",01:24:55,7,6,1,0,0,0,1,1,0,4,2,2,284,291,266,202,258,108,38/58,26/38,12/20,27/55,18/35,9/20,33/38,22/26,11/12,17/27,12/18,5/9,9/20,6/12,3/8,11/28,10/17,1/11,2/4,1/2,1/2,1/5,0/1,1/4,10,6,4,9,6,3,222,190,310,138,131,146,10/27,6/18,4/9,5/38,4/26,1/12,17/28,7/17,10/11,11/20,6/12,5/8,4/5,1/1,3/4,2/4,1/2,1/2,42/58,28/38,14/20,28/55,22/35,6/20,27/55,13/35,14/20,16/58,10/38,6/20,69/113,41/73,28/40,44/113,32/73,12/40,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS009,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Mikael Ymer,Tommy Paul,"6-2, 6-3",01:17:14,0,0,0,1,0,1,0,0,0,2,0,2,298,283,306,172,135,202,39/48,18/24,21/24,30/53,8/19,22/34,24/39,9/18,15/21,16/30,4/8,12/22,7/9,5/6,2/3,6/23,2/11,4/12,2/4,2/3,0/1,2/7,0/3,2/4,9,4,5,8,4,4,254,307,212,132,125,182,14/30,4/8,10/22,15/39,9/18,6/21,17/23,9/11,8/12,2/9,1/6,1/3,5/7,3/3,2/4,2/4,1/3,1/1,31/48,14/24,17/24,22/53,6/19,16/34,31/53,13/19,18/34,17/48,10/24,7/24,62/101,27/43,35/58,39/101,16/43,23/58,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS011,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Emil Ruusuvuori,Jiri Lehecka,"6-2, 6-2",01:22:07,7,3,4,3,2,1,0,0,0,3,2,1,295,306,285,195,222,166,27/44,17/26,10/18,47/66,26/36,21/30,22/27,12/17,10/10,21/47,13/26,8/21,10/17,6/9,4/8,8/19,5/10,3/9,4/5,2/2,2/3,5/10,3/5,2/5,8,4,4,8,4,4,225,190,264,92,62,108,26/47,13/26,13/21,5/27,5/17,0/10,11/19,5/10,6/9,7/17,3/9,4/8,5/10,2/5,3/5,1/5,0/2,1/3,32/44,18/26,14/18,29/66,18/36,11/30,37/66,18/36,19/30,12/44,8/26,4/18,69/110,36/62,33/48,41/110,26/62,15/48,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS024,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Alex de Minaur,Benjamin Bonzi,"6-3, 6-1",01:16:11,2,0,2,4,2,2,1,0,1,3,0,3,305,288,309,211,234,176,28/46,13/26,15/20,36/57,22/31,14/26,23/28,9/13,14/15,23/36,15/22,8/14,11/18,9/13,2/5,7/21,3/9,4/12,0/0,0/0,0/0,4/8,2/4,2/4,8,4,4,8,5,3,203,189,226,57,62,67,13/36,7/22,6/14,5/28,4/13,1/15,14/21,6/9,8/12,7/18,4/13,3/5,4/8,2/4,2/4,0/0,0/0,0/0,34/46,18/26,16/20,30/57,18/31,12/26,27/57,13/31,14/26,12/46,8/26,4/20,61/103,31/57,30/46,42/103,26/57,16/46,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS023,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Jiri Lehecka,Grigor Dimitrov,"6-4, 1-6, 7-6",02:23:41,5,1,0,6,1,1,2,0,1,1,0,1,268,283,188,295,288,306,58/94,16/32,15/24,67/94,20/29,18/27,39/58,10/16,9/15,47/67,12/20,13/18,21/36,11/16,3/9,17/27,7/9,6/9,4/7,0/0,4/6,6/8,4/5,1/1,14,5,3,15,5,4,105,102,61,139,69,206,20/67,8/20,5/18,19/58,6/16,6/15,10/27,2/9,3/9,15/36,5/16,6/9,2/8,1/5,0/1,3/7,0/0,2/6,60/94,21/32,12/24,64/94,19/29,19/27,30/94,10/29,8/27,34/94,11/32,12/24,90/188,31/61,20/51,98/188,30/61,31/51,4,4,0,1,283,295,29/38,27/38,22/29,20/27,4/9,7/11,1/2,0/1,6,6,178,146,7/27,7/29,4/11,5/9,1/1,1/2,26/38,27/38,11/38,12/38,37/76,39/76
2022,429,2022/429/MS028,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Holger Rune,Thiago Monteiro,"7-5, 6-2",01:20:51,3,1,2,5,2,3,0,0,0,1,1,0,327,319,334,254,276,216,36/51,22/31,14/20,36/55,21/32,15/23,31/36,20/22,11/14,28/36,17/21,11/15,10/15,5/9,5/6,7/19,5/11,2/8,0/0,0/0,0/0,2/5,2/3,0/2,10,6,4,10,6,4,175,123,252,47,53,38,8/36,4/21,4/15,5/36,2/22,3/14,12/19,6/11,6/8,5/15,4/9,1/6,3/5,1/3,2/2,0/0,0/0,0/0,41/51,25/31,16/20,35/55,22/32,13/23,20/55,10/32,10/23,10/51,6/31,4/20,61/106,35/63,26/43,45/106,28/63,17/43,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
